"Team","Value","Squad size","Date"
"Salford City","£2.88m",31,"2019-09-15"
"Southend United","£5.15m",27,"2019-09-15"
"Bolton Wanderers","£7.65m",33,"2019-09-15"
"Oldham Athletic","£3.76m",28,"2019-09-15"
"Tranmere Rovers","£4.07m",29,"2019-09-15"
"Morecambe FC","£1.98m",27,"2019-09-15"
"Grimsby Town","£2.86m",25,"2019-09-15"
"Colchester United","£2.81m",31,"2019-09-15"
"Leyton Orient","£1.73m",28,"2019-09-15"
"Mansfield Town","£3.08m",25,"2019-09-15"
"Bradford City","£3.85m",28,"2019-09-15"
"Scunthorpe United","£4.68m",27,"2019-09-15"
"Barrow AFC","£833Th.",21,"2019-09-15"
"Port Vale FC","£2.12m",28,"2019-09-15"
"Cheltenham Town","£2.41m",25,"2019-09-15"
"Exeter City","£3.51m",26,"2019-09-15"
"Carlisle United","£2.54m",25,"2019-09-15"
"Crawley Town","£1.87m",28,"2019-09-15"
"Newport County","£1.85m",25,"2019-09-15"
"Cambridge United","£2.07m",28,"2019-09-15"
"Walsall FC","£2.14m",27,"2019-09-15"
"Forest Green Rovers","£2.30m",25,"2019-09-15"
"Stevenage FC","£2.50m",29,"2019-09-15"
"Harrogate Town","£473Th.",20,"2019-09-15"
