"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€4.08m",26,"2011-05-01"
"2","Norwich City","€18.40m",32,"2011-05-01"
"3","Watford FC","€9.35m",24,"2011-05-01"
"4","Brentford FC","€6.65m",28,"2011-05-01"
"5","Cardiff City","€35.00m",28,"2011-05-01"
"6","Bristol City","€20.45m",29,"2011-05-01"
"7","Swansea City","€18.35m",27,"2011-05-01"
"8","Reading FC","€20.58m",29,"2011-05-01"
"9","Stoke City","€84.85m",26,"2011-05-01"
"10","Blackburn Rovers","€83.10m",27,"2011-05-01"
"11","Nottingham Forest","€33.55m",26,"2011-05-01"
"12","Middlesbrough FC","€34.55m",29,"2011-05-01"
"13","Derby County","€16.20m",33,"2011-05-01"
"14","Huddersfield Town","€10.13m",25,"2011-05-01"
"15","Birmingham City","€90.75m",26,"2011-05-01"
"16","Millwall FC","€10.38m",26,"2011-05-01"
"17","Sheffield Wednesday","€17.90m",28,"2011-05-01"
"18","Preston North End","€22.45m",35,"2011-05-01"
"19","Queens Park Rangers","€39.35m",33,"2011-05-01"
"20","Barnsley FC","€17.75m",27,"2011-05-01"
"21","Luton Town","€2.28m",33,"2011-05-01"
"22","Coventry City","€15.83m",28,"2011-05-01"
"23","Rotherham United","€3.18m",27,"2011-05-01"
"24","Wycombe Wanderers","€4.20m",27,"2011-05-01"
