"Team","Value","Squad size","Date"
"Liverpool FC","£334.98m",28,"2017-05-15"
"Manchester City","£472.73m",25,"2017-05-15"
"Chelsea FC","£463.50m",25,"2017-05-15"
"Manchester United","£422.10m",25,"2017-05-15"
"Tottenham Hotspur","£386.10m",24,"2017-05-15"
"Arsenal FC","£443.25m",28,"2017-05-15"
"Everton FC","£227.97m",27,"2017-05-15"
"Leicester City","£184.77m",25,"2017-05-15"
"Wolverhampton Wanderers","£44.87m",29,"2017-05-15"
"Aston Villa","£75.15m",26,"2017-05-15"
"West Ham United","£188.51m",28,"2017-05-15"
"Newcastle United","£113.63m",28,"2017-05-15"
"Brighton & Hove Albion","£46.08m",29,"2017-05-15"
"Southampton FC","£207.45m",30,"2017-05-15"
"Fulham FC","£49.10m",23,"2017-05-15"
"Crystal Palace","£167.85m",27,"2017-05-15"
"Leeds United","£38.07m",27,"2017-05-15"
"Sheffield United","£7.65m",26,"2017-05-15"
"Burnley FC","£76.50m",23,"2017-05-15"
"West Bromwich Albion","£86.04m",20,"2017-05-15"
