"","Team","Value","Squad size","Date"
"1","Hull City","€54.50m",26,"2013-08-15"
"2","Ipswich Town","€12.43m",21,"2013-08-15"
"3","Blackpool FC","€18.13m",20,"2013-08-15"
"4","Sunderland AFC","€99.10m",23,"2013-08-15"
"5","Shrewsbury Town","€2.75m",20,"2013-08-15"
"6","Charlton Athletic","€11.35m",22,"2013-08-15"
"7","Fleetwood Town","€3.58m",26,"2013-08-15"
"8","Milton Keynes Dons","€5.60m",22,"2013-08-15"
"9","Oxford United","€2.63m",25,"2013-08-15"
"10","Wigan Athletic","€63.95m",25,"2013-08-15"
"11","Swindon Town","€3.53m",28,"2013-08-15"
"12","Doncaster Rovers","€7.75m",32,"2013-08-15"
"13","Portsmouth FC","€3.10m",21,"2013-08-15"
"14","Burton Albion","€2.91m",21,"2013-08-15"
"15","Gillingham FC","€2.60m",24,"2013-08-15"
"16","Bristol Rovers","€2.88m",25,"2013-08-15"
"17","Plymouth Argyle","€3.23m",23,"2013-08-15"
"18","Northampton Town","€3.73m",24,"2013-08-15"
"19","Lincoln City","€600Th.",21,"2013-08-15"
"20","Peterborough United","€8.30m",24,"2013-08-15"
"21","Rochdale AFC","€2.28m",27,"2013-08-15"
"22","Crewe Alexandra","€2.43m",26,"2013-08-15"
"23","AFC Wimbledon","€2.38m",22,"2013-08-15"
"24","Accrington Stanley","€1.70m",21,"2013-08-15"
