"Team","Value","Squad size","Date"
"Salford City","£45Th.",3,"2012-10-01"
"Southend United","£3.89m",24,"2012-10-01"
"Bolton Wanderers","£52.92m",31,"2012-10-01"
"Oldham Athletic","£5.09m",29,"2012-10-01"
"Tranmere Rovers","£2.14m",25,"2012-10-01"
"Morecambe FC","£2.25m",23,"2012-10-01"
"Grimsby Town","£1.31m",19,"2012-10-01"
"Colchester United","£4.70m",26,"2012-10-01"
"Leyton Orient","£5.18m",25,"2012-10-01"
"Mansfield Town","£2.30m",28,"2012-10-01"
"Bradford City","£4.19m",23,"2012-10-01"
"Scunthorpe United","£4.46m",24,"2012-10-01"
"Barrow AFC","£675Th.",19,"2012-10-01"
"Port Vale FC","£1.87m",22,"2012-10-01"
"Cheltenham Town","£2.12m",20,"2012-10-01"
"Exeter City","£3.80m",22,"2012-10-01"
"Carlisle United","£4.23m",25,"2012-10-01"
"Crawley Town","£3.24m",27,"2012-10-01"
"Newport County","£1.26m",21,"2012-10-01"
"Walsall FC","£3.17m",24,"2012-10-01"
"Forest Green Rovers","£1.35m",24,"2012-10-01"
"Stevenage FC","£4.68m",26,"2012-10-01"
"Cambridge United","£518Th.",28,"2012-10-01"
"Harrogate Town","£1.24m",26,"2012-10-01"
