"Team","Value","Squad size","Date"
"Liverpool FC","£821.70m",25,"2018-12-01"
"Manchester City","£982.35m",26,"2018-12-01"
"Chelsea FC","£803.03m",28,"2018-12-01"
"Manchester United","£751.50m",26,"2018-12-01"
"Tottenham Hotspur","£753.75m",26,"2018-12-01"
"Arsenal FC","£516.60m",25,"2018-12-01"
"Everton FC","£383.40m",28,"2018-12-01"
"Leicester City","£310.05m",28,"2018-12-01"
"Wolverhampton Wanderers","£196.20m",23,"2018-12-01"
"Aston Villa","£98.78m",25,"2018-12-01"
"West Ham United","£258.75m",26,"2018-12-01"
"Newcastle United","£156.60m",25,"2018-12-01"
"Southampton FC","£239.49m",25,"2018-12-01"
"Brighton & Hove Albion","£159.30m",24,"2018-12-01"
"Fulham FC","£225.45m",25,"2018-12-01"
"Crystal Palace","£197.33m",26,"2018-12-01"
"Leeds United","£57.24m",23,"2018-12-01"
"Sheffield United","£29.43m",25,"2018-12-01"
"Burnley FC","£163.58m",24,"2018-12-01"
"West Bromwich Albion","£97.38m",25,"2018-12-01"
