"","Team","Value","Squad size","Date"
"1","Liverpool FC","€548.00m",25,"2018-05-15"
"2","Manchester City","€856.50m",23,"2018-05-15"
"3","Chelsea FC","€741.75m",24,"2018-05-15"
"4","Manchester United","€750.50m",26,"2018-05-15"
"5","Tottenham Hotspur","€720.00m",24,"2018-05-15"
"6","Arsenal FC","€499.00m",24,"2018-05-15"
"7","Everton FC","€344.00m",29,"2018-05-15"
"8","Leicester City","€234.25m",24,"2018-05-15"
"9","Wolverhampton Wanderers","€97.00m",26,"2018-05-15"
"10","Aston Villa","€88.00m",29,"2018-05-15"
"11","West Ham United","€218.00m",24,"2018-05-15"
"12","Newcastle United","€159.25m",25,"2018-05-15"
"13","Southampton FC","€248.50m",24,"2018-05-15"
"14","Brighton & Hove Albion","€122.50m",27,"2018-05-15"
"15","Fulham FC","€107.00m",24,"2018-05-15"
"16","Crystal Palace","€195.70m",29,"2018-05-15"
"17","Leeds United","€55.90m",31,"2018-05-15"
"18","Sheffield United","€21.00m",26,"2018-05-15"
"19","Burnley FC","€126.35m",27,"2018-05-15"
"20","West Bromwich Albion","€172.00m",25,"2018-05-15"
