"","Team","Value","Squad size","Date"
"1","Liverpool FC","€459.00m",33,"2017-07-15"
"2","Manchester City","€648.60m",31,"2017-07-15"
"3","Chelsea FC","€615.80m",35,"2017-07-15"
"4","Manchester United","€523.75m",27,"2017-07-15"
"5","Tottenham Hotspur","€463.00m",22,"2017-07-15"
"6","Arsenal FC","€592.00m",34,"2017-07-15"
"7","Everton FC","€293.75m",31,"2017-07-15"
"8","Leicester City","€210.00m",25,"2017-07-15"
"9","Wolverhampton Wanderers","€65.53m",34,"2017-07-15"
"10","Aston Villa","€106.75m",30,"2017-07-15"
"11","West Ham United","€195.90m",25,"2017-07-15"
"12","Newcastle United","€136.00m",31,"2017-07-15"
"13","Southampton FC","€239.00m",27,"2017-07-15"
"14","Brighton & Hove Albion","€57.75m",27,"2017-07-15"
"15","Fulham FC","€47.30m",21,"2017-07-15"
"16","Crystal Palace","€166.85m",25,"2017-07-15"
"17","Leeds United","€44.30m",28,"2017-07-15"
"18","Sheffield United","€10.20m",24,"2017-07-15"
"19","Burnley FC","€81.75m",24,"2017-07-15"
"20","West Bromwich Albion","€103.75m",20,"2017-07-15"
