"","Team","Value","Squad size","Date"
"1","Liverpool FC","€1.09bn",30,"2020-10-01"
"2","Manchester City","€1.05bn",29,"2020-10-01"
"3","Chelsea FC","€903.28m",35,"2020-10-01"
"4","Manchester United","€799.40m",30,"2020-10-01"
"5","Tottenham Hotspur","€774.55m",30,"2020-10-01"
"6","Arsenal FC","€646.95m",32,"2020-10-01"
"7","Everton FC","€491.05m",32,"2020-10-01"
"8","Leicester City","€459.10m",30,"2020-10-01"
"9","Wolverhampton Wanderers","€346.80m",24,"2020-10-01"
"10","Aston Villa","€274.60m",28,"2020-10-01"
"11","West Ham United","€290.65m",24,"2020-10-01"
"12","Newcastle United","€266.65m",32,"2020-10-01"
"13","Southampton FC","€209.60m",28,"2020-10-01"
"14","Brighton & Hove Albion","€191.95m",28,"2020-10-01"
"15","Fulham FC","€167.25m",29,"2020-10-01"
"16","Crystal Palace","€203.05m",30,"2020-10-01"
"17","Leeds United","€147.75m",30,"2020-10-01"
"18","Sheffield United","€154.15m",31,"2020-10-01"
"19","Burnley FC","€154.58m",25,"2020-10-01"
"20","West Bromwich Albion","€87.25m",28,"2020-10-01"
