"Team","Value","Squad size","Date"
"Hull City","£49.73m",26,"2013-11-01"
"Ipswich Town","£9.34m",20,"2013-11-01"
"Blackpool FC","£19.80m",23,"2013-11-01"
"Sunderland AFC","£101.70m",25,"2013-11-01"
"Shrewsbury Town","£3.04m",23,"2013-11-01"
"Charlton Athletic","£10.62m",25,"2013-11-01"
"Fleetwood Town","£2.84m",25,"2013-11-01"
"Milton Keynes Dons","£6.12m",23,"2013-11-01"
"Oxford United","£2.36m",26,"2013-11-01"
"Wigan Athletic","£52.52m",27,"2013-11-01"
"Swindon Town","£4.28m",30,"2013-11-01"
"Doncaster Rovers","£6.84m",24,"2013-11-01"
"Portsmouth FC","£4.16m",26,"2013-11-01"
"Burton Albion","£2.96m",22,"2013-11-01"
"Gillingham FC","£2.66m",26,"2013-11-01"
"Bristol Rovers","£2.57m",26,"2013-11-01"
"Plymouth Argyle","£3.42m",26,"2013-11-01"
"Northampton Town","£4.19m",30,"2013-11-01"
"Lincoln City","£540Th.",22,"2013-11-01"
"Peterborough United","£8.37m",23,"2013-11-01"
"Rochdale AFC","£2.59m",29,"2013-11-01"
"Crewe Alexandra","£2.32m",28,"2013-11-01"
"AFC Wimbledon","£2.14m",23,"2013-11-01"
"Accrington Stanley","£2.25m",27,"2013-11-01"
