"","Team","Value","Squad size","Date"
"1","Salford City","€700Th.",25,"2017-08-01"
"2","Southend United","€6.48m",20,"2017-08-01"
"3","Bolton Wanderers","€16.55m",23,"2017-08-01"
"4","Oldham Athletic","€3.18m",21,"2017-08-01"
"5","Tranmere Rovers","€1.65m",24,"2017-08-01"
"6","Morecambe FC","€2.20m",23,"2017-08-01"
"7","Grimsby Town","€2.53m",27,"2017-08-01"
"8","Colchester United","€3.43m",24,"2017-08-01"
"9","Leyton Orient","€1.93m",27,"2017-08-01"
"10","Mansfield Town","€3.75m",24,"2017-08-01"
"11","Bradford City","€3.93m",26,"2017-08-01"
"12","Scunthorpe United","€5.88m",24,"2017-08-01"
"13","Barrow AFC","€725Th.",21,"2017-08-01"
"14","Port Vale FC","€2.25m",25,"2017-08-01"
"15","Cheltenham Town","€1.38m",20,"2017-08-01"
"16","Exeter City","€3.35m",20,"2017-08-01"
"17","Carlisle United","€2.25m",22,"2017-08-01"
"18","Crawley Town","€3.20m",26,"2017-08-01"
"19","Newport County","€1.80m",21,"2017-08-01"
"20","Cambridge United","€2.73m",23,"2017-08-01"
"21","Walsall FC","€3.08m",23,"2017-08-01"
"22","Forest Green Rovers","€1.58m",29,"2017-08-01"
"23","Stevenage FC","€2.03m",22,"2017-08-01"
"24","Harrogate Town","€1.23m",30,"2017-08-01"
