"Team","Value","Squad size","Date"
"Liverpool FC","£211.50m",24,"2012-05-15"
"Manchester City","£420.30m",24,"2012-05-15"
"Chelsea FC","£342.90m",25,"2012-05-15"
"Manchester United","£376.65m",28,"2012-05-15"
"Tottenham Hotspur","£242.33m",26,"2012-05-15"
"Arsenal FC","£269.33m",26,"2012-05-15"
"Everton FC","£132.30m",24,"2012-05-15"
"Leicester City","£31.82m",30,"2012-05-15"
"Wolverhampton Wanderers","£71.93m",24,"2012-05-15"
"Aston Villa","£112.28m",25,"2012-05-15"
"West Ham United","£56.25m",27,"2012-05-15"
"Newcastle United","£120.38m",27,"2012-05-15"
"Brighton & Hove Albion","£16.09m",32,"2012-05-15"
"Southampton FC","£24.84m",26,"2012-05-15"
"Fulham FC","£92.70m",31,"2012-05-15"
"Crystal Palace","£18.72m",29,"2012-05-15"
"Leeds United","£16.29m",25,"2012-05-15"
"Sheffield United","£12.69m",28,"2012-05-15"
"Burnley FC","£16.76m",24,"2012-05-15"
"West Bromwich Albion","£64.58m",24,"2012-05-15"
