"","Team","Value","Squad size","Date"
"1","Salford City","€700Th.",21,"2016-08-15"
"2","Southend United","€4.95m",21,"2016-08-15"
"3","Bolton Wanderers","€11.43m",22,"2016-08-15"
"4","Oldham Athletic","€4.85m",26,"2016-08-15"
"5","Tranmere Rovers","€1.10m",21,"2016-08-15"
"6","Morecambe FC","€2.33m",20,"2016-08-15"
"7","Grimsby Town","€2.38m",23,"2016-08-15"
"8","Colchester United","€2.93m",23,"2016-08-15"
"9","Leyton Orient","€4.95m",25,"2016-08-15"
"10","Mansfield Town","€2.63m",22,"2016-08-15"
"11","Bradford City","€5.85m",24,"2016-08-15"
"12","Scunthorpe United","€4.73m",25,"2016-08-15"
"13","Barrow AFC","€850Th.",22,"2016-08-15"
"14","Port Vale FC","€4.53m",28,"2016-08-15"
"15","Cheltenham Town","€1.33m",21,"2016-08-15"
"16","Exeter City","€3.63m",28,"2016-08-15"
"17","Carlisle United","€2.70m",22,"2016-08-15"
"18","Crawley Town","€2.83m",23,"2016-08-15"
"19","Newport County","€2.08m",23,"2016-08-15"
"20","Cambridge United","€2.88m",24,"2016-08-15"
"21","Walsall FC","€3.58m",24,"2016-08-15"
"22","Forest Green Rovers","€2.25m",26,"2016-08-15"
"23","Stevenage FC","€2.15m",22,"2016-08-15"
"24","Harrogate Town","€3.45m",50,"2016-08-15"
