"Team","Value","Squad size","Date"
"AFC Bournemouth","£6.17m",34,"2013-01-01"
"Norwich City","£55.80m",25,"2013-01-01"
"Watford FC","£19.49m",34,"2013-01-01"
"Brentford FC","£5.13m",29,"2013-01-01"
"Cardiff City","£28.26m",27,"2013-01-01"
"Bristol City","£15.89m",28,"2013-01-01"
"Swansea City","£66.60m",25,"2013-01-01"
"Stoke City","£83.84m",28,"2013-01-01"
"Reading FC","£33.98m",28,"2013-01-01"
"Blackburn Rovers","£52.70m",33,"2013-01-01"
"Nottingham Forest","£27.95m",27,"2013-01-01"
"Middlesbrough FC","£30.78m",30,"2013-01-01"
"Derby County","£10.78m",26,"2013-01-01"
"Huddersfield Town","£14.24m",27,"2013-01-01"
"Birmingham City","£23.90m",28,"2013-01-01"
"Millwall FC","£11.57m",26,"2013-01-01"
"Sheffield Wednesday","£15.05m",31,"2013-01-01"
"Preston North End","£3.85m",27,"2013-01-01"
"Queens Park Rangers","£95.40m",27,"2013-01-01"
"Barnsley FC","£9.27m",32,"2013-01-01"
"Luton Town","£1.42m",28,"2013-01-01"
"Coventry City","£7.92m",29,"2013-01-01"
"Rotherham United","£5.36m",25,"2013-01-01"
"Wycombe Wanderers","£3.42m",31,"2013-01-01"
