"","Team","Value","Squad size","Date"
"1","Hull City","€65.65m",24,"2016-01-15"
"2","Ipswich Town","€20.60m",29,"2016-01-15"
"3","Blackpool FC","€4.15m",26,"2016-01-15"
"4","Sunderland AFC","€109.75m",29,"2016-01-15"
"5","Shrewsbury Town","€4.75m",28,"2016-01-15"
"6","Charlton Athletic","€24.80m",35,"2016-01-15"
"7","Fleetwood Town","€3.33m",29,"2016-01-15"
"8","Milton Keynes Dons","€8.75m",26,"2016-01-15"
"9","Oxford United","€2.68m",28,"2016-01-15"
"10","Wigan Athletic","€12.33m",30,"2016-01-15"
"11","Swindon Town","€3.05m",25,"2016-01-15"
"12","Doncaster Rovers","€4.30m",22,"2016-01-15"
"13","Portsmouth FC","€5.10m",25,"2016-01-15"
"14","Burton Albion","€3.90m",28,"2016-01-15"
"15","Gillingham FC","€2.63m",26,"2016-01-15"
"16","Bristol Rovers","€1.60m",27,"2016-01-15"
"17","Plymouth Argyle","€2.60m",22,"2016-01-15"
"18","Northampton Town","€3.88m",22,"2016-01-15"
"19","Lincoln City","€825Th.",23,"2016-01-15"
"20","Peterborough United","€6.43m",28,"2016-01-15"
"21","Rochdale AFC","€3.75m",25,"2016-01-15"
"22","Crewe Alexandra","€2.25m",26,"2016-01-15"
"23","AFC Wimbledon","€2.30m",24,"2016-01-15"
"24","Accrington Stanley","€850Th.",25,"2016-01-15"
