"Team","Value","Squad size","Date"
"Hull City","£59.20m",25,"2016-06-15"
"Ipswich Town","£16.38m",27,"2016-06-15"
"Blackpool FC","£3.20m",23,"2016-06-15"
"Sunderland AFC","£84.38m",26,"2016-06-15"
"Charlton Athletic","£20.12m",33,"2016-06-15"
"Shrewsbury Town","£3.74m",26,"2016-06-15"
"Fleetwood Town","£4.01m",32,"2016-06-15"
"Milton Keynes Dons","£5.67m",24,"2016-06-15"
"Oxford United","£2.75m",26,"2016-06-15"
"Wigan Athletic","£11.45m",31,"2016-06-15"
"Swindon Town","£2.93m",24,"2016-06-15"
"Doncaster Rovers","£3.51m",21,"2016-06-15"
"Portsmouth FC","£3.76m",23,"2016-06-15"
"Burton Albion","£3.15m",24,"2016-06-15"
"Gillingham FC","£3.38m",24,"2016-06-15"
"Bristol Rovers","£1.53m",28,"2016-06-15"
"Northampton Town","£3.35m",21,"2016-06-15"
"Plymouth Argyle","£1.94m",18,"2016-06-15"
"Lincoln City","£1.01m",23,"2016-06-15"
"Peterborough United","£5.13m",31,"2016-06-15"
"Rochdale AFC","£4.14m",31,"2016-06-15"
"Crewe Alexandra","£2.41m",26,"2016-06-15"
"AFC Wimbledon","£2.12m",23,"2016-06-15"
"Accrington Stanley","£1.24m",26,"2016-06-15"
