"","Team","Value","Squad size","Date"
"1","Salford City","€625Th.",11,"2015-03-01"
"2","Southend United","€3.28m",26,"2015-03-01"
"3","Bolton Wanderers","€26.28m",31,"2015-03-01"
"4","Oldham Athletic","€5.48m",24,"2015-03-01"
"5","Tranmere Rovers","€3.93m",26,"2015-03-01"
"6","Morecambe FC","€1.98m",22,"2015-03-01"
"7","Grimsby Town","€1.00m",25,"2015-03-01"
"8","Colchester United","€3.93m",29,"2015-03-01"
"9","Leyton Orient","€8.75m",28,"2015-03-01"
"10","Mansfield Town","€1.98m",27,"2015-03-01"
"11","Bradford City","€6.50m",24,"2015-03-01"
"12","Scunthorpe United","€3.70m",25,"2015-03-01"
"13","Barrow AFC","€1.33m",29,"2015-03-01"
"14","Port Vale FC","€3.18m",27,"2015-03-01"
"15","Cheltenham Town","€2.83m",25,"2015-03-01"
"16","Exeter City","€3.65m",26,"2015-03-01"
"17","Carlisle United","€4.03m",25,"2015-03-01"
"18","Crawley Town","€4.03m",25,"2015-03-01"
"19","Newport County","€1.38m",24,"2015-03-01"
"20","Cambridge United","€2.75m",27,"2015-03-01"
"21","Walsall FC","€2.73m",24,"2015-03-01"
"22","Forest Green Rovers","€1.93m",22,"2015-03-01"
"23","Stevenage FC","€2.35m",29,"2015-03-01"
"24","Harrogate Town","€2.38m",38,"2015-03-01"
