"","Team","Value","Squad size","Date"
"1","Liverpool FC","€275.00m",24,"2010-11-01"
"2","Manchester City","€360.30m",27,"2010-11-01"
"3","Chelsea FC","€360.00m",22,"2010-11-01"
"4","Manchester United","€369.50m",29,"2010-11-01"
"5","Tottenham Hotspur","€282.70m",28,"2010-11-01"
"6","Arsenal FC","€303.00m",24,"2010-11-01"
"7","Everton FC","€176.40m",22,"2010-11-01"
"8","Leicester City","€32.85m",35,"2010-11-01"
"9","Wolverhampton Wanderers","€71.00m",25,"2010-11-01"
"10","Aston Villa","€142.15m",26,"2010-11-01"
"11","West Ham United","€116.65m",29,"2010-11-01"
"12","Newcastle United","€78.75m",27,"2010-11-01"
"13","Southampton FC","€15.83m",30,"2010-11-01"
"14","Brighton & Hove Albion","€5.95m",26,"2010-11-01"
"15","Fulham FC","€100.25m",27,"2010-11-01"
"16","Crystal Palace","€17.40m",30,"2010-11-01"
"17","Leeds United","€27.58m",33,"2010-11-01"
"18","Sheffield United","€28.55m",26,"2010-11-01"
"19","Burnley FC","€34.60m",29,"2010-11-01"
"20","West Bromwich Albion","€71.25m",26,"2010-11-01"
