"Team","Value","Squad size","Date"
"Ipswich Town","£15.84m",24,"2012-04-01"
"Hull City","£16.61m",31,"2012-04-01"
"Sunderland AFC","£102.83m",26,"2012-04-01"
"Blackpool FC","£21.15m",28,"2012-04-01"
"Charlton Athletic","£9.47m",28,"2012-04-01"
"Milton Keynes Dons","£5.20m",23,"2012-04-01"
"Portsmouth FC","£12.38m",23,"2012-04-01"
"Fleetwood Town","£653Th.",29,"2012-04-01"
"Shrewsbury Town","£3.31m",22,"2012-04-01"
"Swindon Town","£4.79m",31,"2012-04-01"
"Oxford United","£5.72m",27,"2012-04-01"
"Wigan Athletic","£65.70m",26,"2012-04-01"
"Lincoln City","£1.96m",32,"2012-04-01"
"Doncaster Rovers","£14.15m",31,"2012-04-01"
"Gillingham FC","£4.05m",30,"2012-04-01"
"Bristol Rovers","£4.79m",28,"2012-04-01"
"Plymouth Argyle","£5.11m",30,"2012-04-01"
"Burton Albion","£3.22m",30,"2012-04-01"
"Crewe Alexandra","£945Th.",28,"2012-04-01"
"Northampton Town","£5.54m",27,"2012-04-01"
"Peterborough United","£7.45m",19,"2012-04-01"
"Rochdale AFC","£4.21m",28,"2012-04-01"
"AFC Wimbledon","£1.15m",27,"2012-04-01"
"Accrington Stanley","£1.80m",22,"2012-04-01"
