"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€4.48m",32,"2012-05-15"
"2","Norwich City","€53.30m",26,"2012-05-15"
"3","Watford FC","€14.00m",27,"2012-05-15"
"4","Brentford FC","€6.25m",27,"2012-05-15"
"5","Cardiff City","€24.05m",28,"2012-05-15"
"6","Bristol City","€20.65m",32,"2012-05-15"
"7","Swansea City","€68.50m",28,"2012-05-15"
"8","Reading FC","€19.95m",28,"2012-05-15"
"9","Stoke City","€90.75m",24,"2012-05-15"
"10","Blackburn Rovers","€70.40m",27,"2012-05-15"
"11","Nottingham Forest","€26.18m",28,"2012-05-15"
"12","Middlesbrough FC","€30.30m",27,"2012-05-15"
"13","Derby County","€9.35m",23,"2012-05-15"
"14","Huddersfield Town","€12.60m",30,"2012-05-15"
"15","Birmingham City","€30.98m",25,"2012-05-15"
"16","Millwall FC","€11.80m",25,"2012-05-15"
"17","Sheffield Wednesday","€13.08m",27,"2012-05-15"
"18","Preston North End","€7.63m",32,"2012-05-15"
"19","Queens Park Rangers","€79.55m",30,"2012-05-15"
"20","Barnsley FC","€11.88m",27,"2012-05-15"
"21","Luton Town","€1.28m",27,"2012-05-15"
"22","Coventry City","€10.05m",23,"2012-05-15"
"23","Rotherham United","€3.53m",23,"2012-05-15"
"24","Wycombe Wanderers","€4.68m",27,"2012-05-15"
