"","Team","Value","Squad size","Date"
"1","Liverpool FC","€282.00m",22,"2014-05-01"
"2","Manchester City","€451.00m",24,"2014-05-01"
"3","Chelsea FC","€388.75m",23,"2014-05-01"
"4","Manchester United","€378.50m",26,"2014-05-01"
"5","Tottenham Hotspur","€271.50m",25,"2014-05-01"
"6","Arsenal FC","€370.50m",27,"2014-05-01"
"7","Everton FC","€171.75m",25,"2014-05-01"
"8","Leicester City","€29.20m",24,"2014-05-01"
"9","Wolverhampton Wanderers","€17.08m",26,"2014-05-01"
"10","Aston Villa","€99.50m",28,"2014-05-01"
"11","West Ham United","€96.70m",26,"2014-05-01"
"12","Newcastle United","€143.75m",25,"2014-05-01"
"13","Southampton FC","€111.75m",21,"2014-05-01"
"14","Brighton & Hove Albion","€22.05m",26,"2014-05-01"
"15","Fulham FC","€81.25m",26,"2014-05-01"
"16","Crystal Palace","€57.00m",26,"2014-05-01"
"17","Leeds United","€26.05m",27,"2014-05-01"
"18","Sheffield United","€9.25m",25,"2014-05-01"
"19","Burnley FC","€24.88m",22,"2014-05-01"
"20","West Bromwich Albion","€80.25m",24,"2014-05-01"
