"","Team","Value","Squad size","Date"
"1","Salford City","€50Th.",3,"2012-09-01"
"2","Southend United","€4.35m",25,"2012-09-01"
"3","Bolton Wanderers","€54.30m",30,"2012-09-01"
"4","Oldham Athletic","€4.40m",25,"2012-09-01"
"5","Tranmere Rovers","€1.80m",24,"2012-09-01"
"6","Morecambe FC","€2.50m",23,"2012-09-01"
"7","Grimsby Town","€1.45m",19,"2012-09-01"
"8","Colchester United","€5.15m",25,"2012-09-01"
"9","Leyton Orient","€5.75m",24,"2012-09-01"
"10","Mansfield Town","€2.55m",27,"2012-09-01"
"11","Bradford City","€4.90m",23,"2012-09-01"
"12","Scunthorpe United","€3.73m",21,"2012-09-01"
"13","Barrow AFC","€800Th.",20,"2012-09-01"
"14","Port Vale FC","€2.03m",22,"2012-09-01"
"15","Cheltenham Town","€2.35m",20,"2012-09-01"
"16","Exeter City","€4.18m",22,"2012-09-01"
"17","Carlisle United","€3.75m",22,"2012-09-01"
"18","Crawley Town","€4.03m",27,"2012-09-01"
"19","Newport County","€1.40m",21,"2012-09-01"
"20","Cambridge United","€575Th.",27,"2012-09-01"
"21","Walsall FC","€3.40m",22,"2012-09-01"
"22","Forest Green Rovers","€1.50m",24,"2012-09-01"
"23","Stevenage FC","€4.63m",22,"2012-09-01"
"24","Harrogate Town","€1.08m",25,"2012-09-01"
