"","Team","Value","Squad size","Date"
"1","Liverpool FC","€432.45m",33,"2016-08-01"
"2","Manchester City","€541.50m",26,"2016-08-01"
"3","Chelsea FC","€558.80m",39,"2016-08-01"
"4","Manchester United","€469.25m",33,"2016-08-01"
"5","Tottenham Hotspur","€383.85m",28,"2016-08-01"
"6","Arsenal FC","€493.45m",33,"2016-08-01"
"7","Everton FC","€242.25m",28,"2016-08-01"
"8","Leicester City","€164.10m",29,"2016-08-01"
"9","Wolverhampton Wanderers","€23.05m",26,"2016-08-01"
"10","Aston Villa","€105.95m",28,"2016-08-01"
"11","West Ham United","€179.03m",28,"2016-08-01"
"12","Newcastle United","€164.00m",35,"2016-08-01"
"13","Southampton FC","€171.00m",24,"2016-08-01"
"14","Brighton & Hove Albion","€36.00m",25,"2016-08-01"
"15","Fulham FC","€37.55m",26,"2016-08-01"
"16","Crystal Palace","€140.60m",28,"2016-08-01"
"17","Leeds United","€18.90m",20,"2016-08-01"
"18","Sheffield United","€8.00m",25,"2016-08-01"
"19","Burnley FC","€49.80m",25,"2016-08-01"
"20","West Bromwich Albion","€92.60m",22,"2016-08-01"
