"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€6.88m",32,"2012-12-15"
"2","Norwich City","€60.00m",24,"2012-12-15"
"3","Watford FC","€21.60m",33,"2012-12-15"
"4","Brentford FC","€5.70m",29,"2012-12-15"
"5","Cardiff City","€31.45m",28,"2012-12-15"
"6","Bristol City","€18.90m",28,"2012-12-15"
"7","Swansea City","€74.00m",24,"2012-12-15"
"8","Reading FC","€37.75m",26,"2012-12-15"
"9","Stoke City","€92.60m",25,"2012-12-15"
"10","Blackburn Rovers","€58.05m",33,"2012-12-15"
"11","Nottingham Forest","€39.55m",30,"2012-12-15"
"12","Middlesbrough FC","€34.20m",30,"2012-12-15"
"13","Derby County","€11.98m",25,"2012-12-15"
"14","Huddersfield Town","€15.58m",26,"2012-12-15"
"15","Birmingham City","€26.50m",27,"2012-12-15"
"16","Millwall FC","€13.85m",27,"2012-12-15"
"17","Sheffield Wednesday","€16.73m",31,"2012-12-15"
"18","Preston North End","€4.33m",27,"2012-12-15"
"19","Queens Park Rangers","€106.00m",27,"2012-12-15"
"20","Barnsley FC","€10.90m",33,"2012-12-15"
"21","Luton Town","€1.43m",26,"2012-12-15"
"22","Coventry City","€8.80m",30,"2012-12-15"
"23","Rotherham United","€7.20m",28,"2012-12-15"
"24","Wycombe Wanderers","€3.80m",32,"2012-12-15"
