"Team","Value","Squad size","Date"
"Salford City","£630Th.",20,"2016-10-15"
"Southend United","£4.10m",23,"2016-10-15"
"Bolton Wanderers","£14.11m",24,"2016-10-15"
"Oldham Athletic","£4.03m",25,"2016-10-15"
"Tranmere Rovers","£1.04m",23,"2016-10-15"
"Morecambe FC","£2.14m",22,"2016-10-15"
"Grimsby Town","£2.43m",27,"2016-10-15"
"Colchester United","£2.90m",28,"2016-10-15"
"Leyton Orient","£5.36m",28,"2016-10-15"
"Mansfield Town","£2.68m",24,"2016-10-15"
"Bradford City","£5.56m",24,"2016-10-15"
"Scunthorpe United","£4.70m",25,"2016-10-15"
"Barrow AFC","£675Th.",23,"2016-10-15"
"Port Vale FC","£4.21m",29,"2016-10-15"
"Cheltenham Town","£1.35m",24,"2016-10-15"
"Exeter City","£3.71m",31,"2016-10-15"
"Carlisle United","£2.66m",23,"2016-10-15"
"Crawley Town","£2.68m",24,"2016-10-15"
"Newport County","£1.78m",25,"2016-10-15"
"Cambridge United","£2.68m",26,"2016-10-15"
"Walsall FC","£3.26m",25,"2016-10-15"
"Forest Green Rovers","£2.03m",26,"2016-10-15"
"Stevenage FC","£2.34m",27,"2016-10-15"
"Harrogate Town","£3.11m",51,"2016-10-15"
