"","Team","Value","Squad size","Date"
"1","Liverpool FC","€246.00m",25,"2011-10-01"
"2","Manchester City","€433.50m",25,"2011-10-01"
"3","Chelsea FC","€421.00m",26,"2011-10-01"
"4","Manchester United","€405.30m",28,"2011-10-01"
"5","Tottenham Hotspur","€274.55m",26,"2011-10-01"
"6","Arsenal FC","€289.30m",29,"2011-10-01"
"7","Everton FC","€139.50m",22,"2011-10-01"
"8","Leicester City","€39.28m",27,"2011-10-01"
"9","Wolverhampton Wanderers","€75.00m",25,"2011-10-01"
"10","Aston Villa","€131.55m",24,"2011-10-01"
"11","West Ham United","€77.40m",28,"2011-10-01"
"12","Newcastle United","€104.75m",28,"2011-10-01"
"13","Southampton FC","€18.78m",29,"2011-10-01"
"14","Brighton & Hove Albion","€10.28m",28,"2011-10-01"
"15","Fulham FC","€107.75m",26,"2011-10-01"
"16","Crystal Palace","€21.43m",34,"2011-10-01"
"17","Leeds United","€23.18m",27,"2011-10-01"
"18","Sheffield United","€16.15m",29,"2011-10-01"
"19","Burnley FC","€23.30m",22,"2011-10-01"
"20","West Bromwich Albion","€76.75m",24,"2011-10-01"
