"","Team","Value","Squad size","Date"
"1","Salford City","€2.15m",23,"2018-10-15"
"2","Southend United","€6.28m",28,"2018-10-15"
"3","Bolton Wanderers","€20.90m",31,"2018-10-15"
"4","Oldham Athletic","€4.43m",26,"2018-10-15"
"5","Tranmere Rovers","€2.18m",29,"2018-10-15"
"6","Morecambe FC","€2.28m",27,"2018-10-15"
"7","Grimsby Town","€3.15m",25,"2018-10-15"
"8","Colchester United","€1.78m",22,"2018-10-15"
"9","Leyton Orient","€2.25m",25,"2018-10-15"
"10","Mansfield Town","€4.38m",26,"2018-10-15"
"11","Bradford City","€5.35m",31,"2018-10-15"
"12","Scunthorpe United","€9.43m",23,"2018-10-15"
"13","Barrow AFC","€1.48m",27,"2018-10-15"
"14","Port Vale FC","€2.23m",28,"2018-10-15"
"15","Cheltenham Town","€2.70m",29,"2018-10-15"
"16","Exeter City","€3.48m",26,"2018-10-15"
"17","Carlisle United","€2.60m",27,"2018-10-15"
"18","Crawley Town","€2.83m",24,"2018-10-15"
"19","Newport County","€1.78m",22,"2018-10-15"
"20","Cambridge United","€2.20m",28,"2018-10-15"
"21","Walsall FC","€2.50m",26,"2018-10-15"
"22","Forest Green Rovers","€2.98m",24,"2018-10-15"
"23","Stevenage FC","€1.75m",26,"2018-10-15"
"24","Harrogate Town","€800Th.",22,"2018-10-15"
