"Team","Value","Squad size","Date"
"Liverpool FC","£665.55m",30,"2018-06-15"
"Manchester City","£907.20m",28,"2018-06-15"
"Chelsea FC","£742.73m",37,"2018-06-15"
"Manchester United","£720.45m",30,"2018-06-15"
"Tottenham Hotspur","£729.45m",27,"2018-06-15"
"Arsenal FC","£472.28m",27,"2018-06-15"
"Everton FC","£297.90m",32,"2018-06-15"
"Leicester City","£255.15m",27,"2018-06-15"
"Wolverhampton Wanderers","£94.52m",35,"2018-06-15"
"Aston Villa","£69.30m",27,"2018-06-15"
"West Ham United","£199.35m",25,"2018-06-15"
"Newcastle United","£148.95m",29,"2018-06-15"
"Southampton FC","£222.30m",27,"2018-06-15"
"Brighton & Hove Albion","£123.93m",31,"2018-06-15"
"Fulham FC","£75.83m",20,"2018-06-15"
"Crystal Palace","£176.69m",30,"2018-06-15"
"Leeds United","£52.34m",33,"2018-06-15"
"Sheffield United","£18.00m",30,"2018-06-15"
"Burnley FC","£145.35m",27,"2018-06-15"
"West Bromwich Albion","£133.20m",24,"2018-06-15"
