"Team","Value","Squad size","Date"
"Liverpool FC","£320.40m",26,"2015-10-15"
"Manchester City","£464.40m",25,"2015-10-15"
"Chelsea FC","£488.25m",25,"2015-10-15"
"Manchester United","£353.93m",25,"2015-10-15"
"Tottenham Hotspur","£267.30m",24,"2015-10-15"
"Arsenal FC","£361.80m",24,"2015-10-15"
"Everton FC","£187.43m",27,"2015-10-15"
"Leicester City","£90.00m",24,"2015-10-15"
"Wolverhampton Wanderers","£24.75m",24,"2015-10-15"
"Aston Villa","£109.35m",29,"2015-10-15"
"West Ham United","£149.18m",26,"2015-10-15"
"Newcastle United","£150.98m",31,"2015-10-15"
"Brighton & Hove Albion","£25.29m",26,"2015-10-15"
"Southampton FC","£174.60m",27,"2015-10-15"
"Fulham FC","£31.23m",31,"2015-10-15"
"Crystal Palace","£108.68m",27,"2015-10-15"
"Leeds United","£23.94m",22,"2015-10-15"
"Sheffield United","£9.99m",32,"2015-10-15"
"Burnley FC","£39.29m",26,"2015-10-15"
"West Bromwich Albion","£87.75m",24,"2015-10-15"
