"","Team","Value","Squad size","Date"
"1","Liverpool FC","€397.20m",32,"2017-06-15"
"2","Manchester City","€553.25m",29,"2017-06-15"
"3","Chelsea FC","€525.75m",28,"2017-06-15"
"4","Manchester United","€476.50m",27,"2017-06-15"
"5","Tottenham Hotspur","€429.00m",24,"2017-06-15"
"6","Arsenal FC","€527.00m",32,"2017-06-15"
"7","Everton FC","€267.55m",31,"2017-06-15"
"8","Leicester City","€208.30m",27,"2017-06-15"
"9","Wolverhampton Wanderers","€48.08m",35,"2017-06-15"
"10","Aston Villa","€95.00m",27,"2017-06-15"
"11","West Ham United","€215.45m",32,"2017-06-15"
"12","Newcastle United","€128.50m",31,"2017-06-15"
"13","Southampton FC","€231.50m",31,"2017-06-15"
"14","Brighton & Hove Albion","€50.55m",29,"2017-06-15"
"15","Fulham FC","€50.10m",28,"2017-06-15"
"16","Crystal Palace","€172.18m",30,"2017-06-15"
"17","Leeds United","€38.40m",27,"2017-06-15"
"18","Sheffield United","€9.10m",25,"2017-06-15"
"19","Burnley FC","€84.50m",26,"2017-06-15"
"20","West Bromwich Albion","€97.85m",21,"2017-06-15"
