"Team","Value","Squad size","Date"
"Hull City","£14.76m",24,"2012-07-15"
"Ipswich Town","£10.85m",19,"2012-07-15"
"Blackpool FC","£16.31m",29,"2012-07-15"
"Sunderland AFC","£89.33m",23,"2012-07-15"
"Shrewsbury Town","£3.11m",17,"2012-07-15"
"Charlton Athletic","£7.36m",27,"2012-07-15"
"Fleetwood Town","£2.25m",28,"2012-07-15"
"Milton Keynes Dons","£5.22m",22,"2012-07-15"
"Oxford United","£3.74m",21,"2012-07-15"
"Wigan Athletic","£56.70m",22,"2012-07-15"
"Swindon Town","£4.50m",27,"2012-07-15"
"Doncaster Rovers","£8.30m",25,"2012-07-15"
"Portsmouth FC","£8.19m",19,"2012-07-15"
"Burton Albion","£2.12m",18,"2012-07-15"
"Gillingham FC","£1.67m",22,"2012-07-15"
"Bristol Rovers","£3.35m",19,"2012-07-15"
"Plymouth Argyle","£2.68m",24,"2012-07-15"
"Northampton Town","£3.02m",21,"2012-07-15"
"Lincoln City","£473Th.",20,"2012-07-15"
"Peterborough United","£9.41m",25,"2012-07-15"
"Rochdale AFC","£1.67m",21,"2012-07-15"
"Crewe Alexandra","£653Th.",21,"2012-07-15"
"AFC Wimbledon","£608Th.",18,"2012-07-15"
"Accrington Stanley","£720Th.",15,"2012-07-15"
