"","Team","Value","Squad size","Date"
"1","Hull City","€115.35m",28,"2017-02-01"
"2","Ipswich Town","€21.13m",29,"2017-02-01"
"3","Blackpool FC","€3.90m",26,"2017-02-01"
"4","Sunderland AFC","€99.25m",28,"2017-02-01"
"5","Shrewsbury Town","€3.70m",26,"2017-02-01"
"6","Charlton Athletic","€14.30m",30,"2017-02-01"
"7","Fleetwood Town","€3.98m",31,"2017-02-01"
"8","Milton Keynes Dons","€6.55m",26,"2017-02-01"
"9","Oxford United","€5.43m",24,"2017-02-01"
"10","Wigan Athletic","€18.80m",31,"2017-02-01"
"11","Swindon Town","€5.60m",29,"2017-02-01"
"12","Doncaster Rovers","€3.33m",26,"2017-02-01"
"13","Portsmouth FC","€3.48m",27,"2017-02-01"
"14","Burton Albion","€11.45m",26,"2017-02-01"
"15","Gillingham FC","€5.48m",27,"2017-02-01"
"16","Bristol Rovers","€3.38m",31,"2017-02-01"
"17","Plymouth Argyle","€3.88m",25,"2017-02-01"
"18","Northampton Town","€6.13m",26,"2017-02-01"
"19","Lincoln City","€1.05m",27,"2017-02-01"
"20","Peterborough United","€4.45m",25,"2017-02-01"
"21","Rochdale AFC","€4.10m",29,"2017-02-01"
"22","Crewe Alexandra","€2.63m",22,"2017-02-01"
"23","AFC Wimbledon","€3.50m",25,"2017-02-01"
"24","Accrington Stanley","€2.13m",25,"2017-02-01"
