"Team","Value","Squad size","Date"
"Salford City","-",NA,"2014-07-10"
"Bolton Wanderers","£27.59m",25,"2014-07-10"
"Oldham Athletic","£3.15m",21,"2014-07-10"
"Barrow AFC","£720Th.",22,"2014-07-10"
"Morecambe FC","£1.64m",19,"2014-07-10"
"Mansfield Town","£653Th.",14,"2014-07-10"
"Tranmere Rovers","£1.67m",18,"2014-07-10"
"Grimsby Town","£383Th.",13,"2014-07-10"
"Leyton Orient","£4.05m",15,"2014-07-10"
"Colchester United","£2.77m",21,"2014-07-10"
"Scunthorpe United","£3.58m",24,"2014-07-10"
"Bradford City","£4.46m",19,"2014-07-10"
"Port Vale FC","£2.66m",19,"2014-07-10"
"Crawley Town","£1.31m",14,"2014-07-10"
"Exeter City","£1.98m",20,"2014-07-10"
"Newport County","£1.37m",22,"2014-07-10"
"Southend United","£2.23m",21,"2014-07-10"
"Cheltenham Town","£1.55m",16,"2014-07-10"
"Cambridge United","£1.04m",23,"2014-07-10"
"Carlisle United","£2.32m",17,"2014-07-10"
"Stevenage FC","£1.62m",20,"2014-07-10"
"Forest Green Rovers","£1.37m",24,"2014-07-10"
"Walsall FC","£2.43m",19,"2014-07-10"
"Harrogate Town","£2.03m",35,"2014-07-10"
