"","Team","Value","Squad size","Date"
"1","Hull City","€26.48m",25,"2020-06-01"
"2","Ipswich Town","€11.13m",29,"2020-06-01"
"3","Blackpool FC","€7.90m",27,"2020-06-01"
"4","Sunderland AFC","€12.43m",24,"2020-06-01"
"5","Shrewsbury Town","€5.78m",21,"2020-06-01"
"6","Charlton Athletic","€10.58m",21,"2020-06-01"
"7","Fleetwood Town","€4.78m",25,"2020-06-01"
"8","Milton Keynes Dons","€5.65m",26,"2020-06-01"
"9","Oxford United","€5.43m",23,"2020-06-01"
"10","Wigan Athletic","€21.73m",29,"2020-06-01"
"11","Swindon Town","€4.43m",29,"2020-06-01"
"12","Doncaster Rovers","€2.75m",25,"2020-06-01"
"13","Portsmouth FC","€3.95m",25,"2020-06-01"
"14","Burton Albion","€3.60m",23,"2020-06-01"
"15","Gillingham FC","€3.03m",17,"2020-06-01"
"16","Bristol Rovers","€4.30m",31,"2020-06-01"
"17","Plymouth Argyle","€2.73m",23,"2020-06-01"
"18","Northampton Town","€2.98m",29,"2020-06-01"
"19","Lincoln City","€3.05m",23,"2020-06-01"
"20","Peterborough United","€5.05m",29,"2020-06-01"
"21","Rochdale AFC","€3.08m",24,"2020-06-01"
"22","Crewe Alexandra","€2.20m",25,"2020-06-01"
"23","AFC Wimbledon","€1.60m",24,"2020-06-01"
"24","Accrington Stanley","€1.53m",30,"2020-06-01"
