"Team","Value","Squad size","Date"
"Hull City","£24.75m",28,"2012-11-01"
"Ipswich Town","£18.59m",28,"2012-11-01"
"Blackpool FC","£24.41m",33,"2012-11-01"
"Sunderland AFC","£104.40m",24,"2012-11-01"
"Charlton Athletic","£10.04m",28,"2012-11-01"
"Shrewsbury Town","£3.74m",26,"2012-11-01"
"Fleetwood Town","£3.08m",30,"2012-11-01"
"Milton Keynes Dons","£5.27m",19,"2012-11-01"
"Oxford United","£3.62m",28,"2012-11-01"
"Wigan Athletic","£64.13m",25,"2012-11-01"
"Swindon Town","£4.79m",25,"2012-11-01"
"Doncaster Rovers","£6.98m",24,"2012-11-01"
"Portsmouth FC","£6.71m",21,"2012-11-01"
"Burton Albion","£2.62m",26,"2012-11-01"
"Gillingham FC","£2.93m",26,"2012-11-01"
"Bristol Rovers","£4.55m",30,"2012-11-01"
"Northampton Town","£3.11m",23,"2012-11-01"
"Plymouth Argyle","£3.42m",29,"2012-11-01"
"Lincoln City","£923Th.",28,"2012-11-01"
"Peterborough United","£8.24m",25,"2012-11-01"
"Rochdale AFC","£1.91m",25,"2012-11-01"
"Crewe Alexandra","£1.44m",25,"2012-11-01"
"AFC Wimbledon","£1.31m",24,"2012-11-01"
"Accrington Stanley","£1.44m",25,"2012-11-01"
