"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€4.48m",32,"2012-05-01"
"2","Norwich City","€53.30m",26,"2012-05-01"
"3","Watford FC","€14.00m",27,"2012-05-01"
"4","Brentford FC","€6.25m",27,"2012-05-01"
"5","Cardiff City","€24.05m",28,"2012-05-01"
"6","Bristol City","€20.65m",32,"2012-05-01"
"7","Swansea City","€68.50m",28,"2012-05-01"
"8","Reading FC","€20.00m",30,"2012-05-01"
"9","Stoke City","€90.00m",23,"2012-05-01"
"10","Blackburn Rovers","€70.40m",27,"2012-05-01"
"11","Nottingham Forest","€26.18m",28,"2012-05-01"
"12","Middlesbrough FC","€30.30m",27,"2012-05-01"
"13","Derby County","€9.35m",23,"2012-05-01"
"14","Huddersfield Town","€12.40m",29,"2012-05-01"
"15","Birmingham City","€30.98m",25,"2012-05-01"
"16","Millwall FC","€11.85m",28,"2012-05-01"
"17","Sheffield Wednesday","€13.08m",27,"2012-05-01"
"18","Preston North End","€8.53m",32,"2012-05-01"
"19","Queens Park Rangers","€79.55m",30,"2012-05-01"
"20","Barnsley FC","€11.88m",27,"2012-05-01"
"21","Luton Town","€1.28m",27,"2012-05-01"
"22","Coventry City","€10.05m",23,"2012-05-01"
"23","Rotherham United","€3.48m",22,"2012-05-01"
"24","Wycombe Wanderers","€4.65m",26,"2012-05-01"
