"Team","Value","Squad size","Date"
"Salford City","£45Th.",3,"2013-07-01"
"Southend United","£2.75m",21,"2013-07-01"
"Bolton Wanderers","£38.30m",30,"2013-07-01"
"Oldham Athletic","£4.41m",22,"2013-07-01"
"Tranmere Rovers","£2.43m",21,"2013-07-01"
"Morecambe FC","£1.49m",20,"2013-07-01"
"Grimsby Town","£653Th.",16,"2013-07-01"
"Colchester United","£4.07m",23,"2013-07-01"
"Leyton Orient","£4.93m",25,"2013-07-01"
"Mansfield Town","£1.31m",28,"2013-07-01"
"Bradford City","£4.32m",20,"2013-07-01"
"Scunthorpe United","£2.43m",17,"2013-07-01"
"Barrow AFC","£743Th.",20,"2013-07-01"
"Port Vale FC","£2.90m",21,"2013-07-01"
"Cheltenham Town","£1.49m",17,"2013-07-01"
"Exeter City","£3.02m",23,"2013-07-01"
"Carlisle United","£2.32m",20,"2013-07-01"
"Crawley Town","£2.63m",22,"2013-07-01"
"Newport County","£1.24m",19,"2013-07-01"
"Walsall FC","£2.34m",20,"2013-07-01"
"Forest Green Rovers","£1.19m",27,"2013-07-01"
"Stevenage FC","£3.87m",26,"2013-07-01"
"Cambridge United","£270Th.",25,"2013-07-01"
"Harrogate Town","£1.24m",34,"2013-07-01"
