"","Team","Value","Squad size","Date"
"1","Salford City","€700Th.",20,"2016-09-01"
"2","Southend United","€5.53m",23,"2016-09-01"
"3","Bolton Wanderers","€17.90m",24,"2016-09-01"
"4","Oldham Athletic","€4.90m",28,"2016-09-01"
"5","Tranmere Rovers","€1.10m",21,"2016-09-01"
"6","Morecambe FC","€2.38m",21,"2016-09-01"
"7","Grimsby Town","€2.45m",26,"2016-09-01"
"8","Colchester United","€2.98m",26,"2016-09-01"
"9","Leyton Orient","€5.90m",27,"2016-09-01"
"10","Mansfield Town","€2.63m",23,"2016-09-01"
"11","Bradford City","€6.30m",25,"2016-09-01"
"12","Scunthorpe United","€5.15m",26,"2016-09-01"
"13","Barrow AFC","€850Th.",23,"2016-09-01"
"14","Port Vale FC","€4.88m",30,"2016-09-01"
"15","Cheltenham Town","€1.38m",23,"2016-09-01"
"16","Exeter City","€3.63m",30,"2016-09-01"
"17","Carlisle United","€2.70m",22,"2016-09-01"
"18","Crawley Town","€2.98m",24,"2016-09-01"
"19","Newport County","€2.08m",26,"2016-09-01"
"20","Cambridge United","€2.98m",26,"2016-09-01"
"21","Walsall FC","€3.23m",25,"2016-09-01"
"22","Forest Green Rovers","€2.25m",25,"2016-09-01"
"23","Stevenage FC","€2.63m",27,"2016-09-01"
"24","Harrogate Town","€3.45m",50,"2016-09-01"
