"Team","Value","Squad size","Date"
"Salford City","£630Th.",21,"2016-08-15"
"Bolton Wanderers","£10.28m",22,"2016-08-15"
"Oldham Athletic","£4.37m",26,"2016-08-15"
"Barrow AFC","£765Th.",22,"2016-08-15"
"Morecambe FC","£2.09m",20,"2016-08-15"
"Mansfield Town","£2.36m",22,"2016-08-15"
"Tranmere Rovers","£990Th.",21,"2016-08-15"
"Grimsby Town","£2.14m",23,"2016-08-15"
"Leyton Orient","£4.46m",25,"2016-08-15"
"Colchester United","£2.63m",23,"2016-08-15"
"Scunthorpe United","£4.25m",25,"2016-08-15"
"Bradford City","£5.26m",24,"2016-08-15"
"Port Vale FC","£4.07m",28,"2016-08-15"
"Crawley Town","£2.54m",23,"2016-08-15"
"Exeter City","£3.26m",28,"2016-08-15"
"Newport County","£1.87m",23,"2016-08-15"
"Southend United","£4.46m",21,"2016-08-15"
"Cheltenham Town","£1.19m",21,"2016-08-15"
"Cambridge United","£2.59m",24,"2016-08-15"
"Carlisle United","£2.43m",22,"2016-08-15"
"Stevenage FC","£1.94m",22,"2016-08-15"
"Forest Green Rovers","£2.03m",26,"2016-08-15"
"Walsall FC","£3.22m",24,"2016-08-15"
"Harrogate Town","£3.11m",50,"2016-08-15"
