"","Team","Value","Squad size","Date"
"1","Salford City","€950Th.",26,"2015-11-15"
"2","Southend United","€4.70m",26,"2015-11-15"
"3","Bolton Wanderers","€20.85m",31,"2015-11-15"
"4","Oldham Athletic","€6.13m",35,"2015-11-15"
"5","Tranmere Rovers","€1.85m",30,"2015-11-15"
"6","Morecambe FC","€1.78m",23,"2015-11-15"
"7","Grimsby Town","€1.73m",24,"2015-11-15"
"8","Colchester United","€6.03m",28,"2015-11-15"
"9","Leyton Orient","€3.70m",22,"2015-11-15"
"10","Mansfield Town","€2.93m",25,"2015-11-15"
"11","Bradford City","€7.45m",26,"2015-11-15"
"12","Scunthorpe United","€5.08m",26,"2015-11-15"
"13","Barrow AFC","€1.35m",23,"2015-11-15"
"14","Port Vale FC","€3.58m",27,"2015-11-15"
"15","Cheltenham Town","€950Th.",28,"2015-11-15"
"16","Exeter City","€4.35m",26,"2015-11-15"
"17","Carlisle United","€2.28m",27,"2015-11-15"
"18","Crawley Town","€3.13m",24,"2015-11-15"
"19","Newport County","€1.35m",23,"2015-11-15"
"20","Cambridge United","€2.63m",26,"2015-11-15"
"21","Walsall FC","€3.88m",25,"2015-11-15"
"22","Forest Green Rovers","€2.03m",24,"2015-11-15"
"23","Stevenage FC","€2.43m",27,"2015-11-15"
"24","Harrogate Town","€3.08m",44,"2015-11-15"
