"","Team","Value","Squad size","Date"
"1","Hull City","€25.90m",27,"2011-12-01"
"2","Ipswich Town","€31.65m",26,"2011-12-01"
"3","Blackpool FC","€30.30m",29,"2011-12-01"
"4","Sunderland AFC","€107.70m",27,"2011-12-01"
"5","Shrewsbury Town","€3.80m",23,"2011-12-01"
"6","Charlton Athletic","€13.18m",30,"2011-12-01"
"7","Fleetwood Town","€850Th.",34,"2011-12-01"
"8","Milton Keynes Dons","€6.55m",23,"2011-12-01"
"9","Oxford United","€6.08m",28,"2011-12-01"
"10","Wigan Athletic","€70.80m",25,"2011-12-01"
"11","Swindon Town","€5.48m",30,"2011-12-01"
"12","Doncaster Rovers","€22.45m",33,"2011-12-01"
"13","Portsmouth FC","€26.48m",22,"2011-12-01"
"14","Burton Albion","€3.35m",28,"2011-12-01"
"15","Gillingham FC","€4.73m",29,"2011-12-01"
"16","Bristol Rovers","€5.25m",28,"2011-12-01"
"17","Plymouth Argyle","€4.78m",28,"2011-12-01"
"18","Northampton Town","€3.80m",29,"2011-12-01"
"19","Lincoln City","€1.95m",30,"2011-12-01"
"20","Peterborough United","€6.65m",22,"2011-12-01"
"21","Rochdale AFC","€5.23m",28,"2011-12-01"
"22","Crewe Alexandra","€1.10m",28,"2011-12-01"
"23","AFC Wimbledon","€775Th.",25,"2011-12-01"
"24","Accrington Stanley","€2.20m",25,"2011-12-01"
