"","Team","Value","Squad size","Date"
"1","Salford City","€650Th.",25,"2017-11-15"
"2","Southend United","€6.15m",26,"2017-11-15"
"3","Bolton Wanderers","€16.25m",26,"2017-11-15"
"4","Oldham Athletic","€7.60m",29,"2017-11-15"
"5","Tranmere Rovers","€1.60m",29,"2017-11-15"
"6","Morecambe FC","€2.50m",29,"2017-11-15"
"7","Grimsby Town","€2.78m",28,"2017-11-15"
"8","Colchester United","€3.58m",28,"2017-11-15"
"9","Leyton Orient","€2.63m",31,"2017-11-15"
"10","Mansfield Town","€4.10m",25,"2017-11-15"
"11","Bradford City","€4.95m",35,"2017-11-15"
"12","Scunthorpe United","€6.63m",27,"2017-11-15"
"13","Barrow AFC","€1.25m",23,"2017-11-15"
"14","Port Vale FC","€3.25m",33,"2017-11-15"
"15","Cheltenham Town","€2.75m",25,"2017-11-15"
"16","Exeter City","€4.30m",30,"2017-11-15"
"17","Carlisle United","€2.60m",26,"2017-11-15"
"18","Crawley Town","€2.88m",26,"2017-11-15"
"19","Newport County","€2.35m",24,"2017-11-15"
"20","Cambridge United","€2.33m",24,"2017-11-15"
"21","Walsall FC","€3.08m",27,"2017-11-15"
"22","Forest Green Rovers","€1.40m",25,"2017-11-15"
"23","Stevenage FC","€1.93m",27,"2017-11-15"
"24","Harrogate Town","€850Th.",24,"2017-11-15"
