"Team","Value","Squad size","Date"
"Salford City","£1.08m",27,"2016-01-15"
"Bolton Wanderers","£17.55m",31,"2016-01-15"
"Oldham Athletic","£4.41m",28,"2016-01-15"
"Barrow AFC","£990Th.",21,"2016-01-15"
"Morecambe FC","£1.55m",23,"2016-01-15"
"Mansfield Town","£2.77m",26,"2016-01-15"
"Tranmere Rovers","£1.80m",28,"2016-01-15"
"Grimsby Town","£1.46m",23,"2016-01-15"
"Leyton Orient","£3.53m",26,"2016-01-15"
"Colchester United","£4.86m",28,"2016-01-15"
"Scunthorpe United","£4.66m",27,"2016-01-15"
"Bradford City","£6.17m",27,"2016-01-15"
"Port Vale FC","£3.02m",25,"2016-01-15"
"Crawley Town","£2.52m",20,"2016-01-15"
"Exeter City","£4.14m",30,"2016-01-15"
"Newport County","£1.17m",21,"2016-01-15"
"Southend United","£4.37m",25,"2016-01-15"
"Cheltenham Town","£855Th.",28,"2016-01-15"
"Cambridge United","£2.27m",24,"2016-01-15"
"Carlisle United","£1.98m",25,"2016-01-15"
"Stevenage FC","£2.00m",26,"2016-01-15"
"Forest Green Rovers","£1.82m",24,"2016-01-15"
"Walsall FC","£3.33m",24,"2016-01-15"
"Harrogate Town","£2.77m",45,"2016-01-15"
