"Team","Value","Squad size","Date"
"Salford City","£1.08m",26,"2016-05-01"
"Southend United","£5.00m",26,"2016-05-01"
"Bolton Wanderers","£13.05m",28,"2016-05-01"
"Oldham Athletic","£4.52m",28,"2016-05-01"
"Tranmere Rovers","£2.03m",27,"2016-05-01"
"Morecambe FC","£1.73m",27,"2016-05-01"
"Grimsby Town","£1.67m",27,"2016-05-01"
"Colchester United","£4.55m",25,"2016-05-01"
"Leyton Orient","£6.73m",31,"2016-05-01"
"Mansfield Town","£2.32m",26,"2016-05-01"
"Bradford City","£6.46m",27,"2016-05-01"
"Scunthorpe United","£4.03m",23,"2016-05-01"
"Barrow AFC","£945Th.",23,"2016-05-01"
"Port Vale FC","£3.04m",23,"2016-05-01"
"Cheltenham Town","£1.17m",25,"2016-05-01"
"Exeter City","£4.46m",29,"2016-05-01"
"Carlisle United","£1.94m",27,"2016-05-01"
"Crawley Town","£2.61m",22,"2016-05-01"
"Newport County","£1.49m",24,"2016-05-01"
"Cambridge United","£2.48m",26,"2016-05-01"
"Walsall FC","£3.51m",23,"2016-05-01"
"Forest Green Rovers","£1.69m",21,"2016-05-01"
"Stevenage FC","£1.87m",29,"2016-05-01"
"Harrogate Town","£2.84m",50,"2016-05-01"
