"Team","Value","Squad size","Date"
"Liverpool FC","£253.80m",22,"2014-05-01"
"Manchester City","£405.90m",24,"2014-05-01"
"Chelsea FC","£349.88m",23,"2014-05-01"
"Manchester United","£340.65m",26,"2014-05-01"
"Tottenham Hotspur","£244.35m",25,"2014-05-01"
"Arsenal FC","£333.45m",27,"2014-05-01"
"Everton FC","£154.58m",25,"2014-05-01"
"Leicester City","£26.28m",24,"2014-05-01"
"Wolverhampton Wanderers","£15.37m",26,"2014-05-01"
"Aston Villa","£89.55m",28,"2014-05-01"
"West Ham United","£87.03m",26,"2014-05-01"
"Newcastle United","£129.38m",25,"2014-05-01"
"Southampton FC","£100.58m",21,"2014-05-01"
"Brighton & Hove Albion","£19.85m",26,"2014-05-01"
"Fulham FC","£73.13m",26,"2014-05-01"
"Crystal Palace","£51.30m",26,"2014-05-01"
"Leeds United","£23.45m",27,"2014-05-01"
"Sheffield United","£8.33m",25,"2014-05-01"
"Burnley FC","£22.39m",22,"2014-05-01"
"West Bromwich Albion","£72.23m",24,"2014-05-01"
