"Team","Value","Squad size","Date"
"Salford City","£90Th.",5,"2014-03-01"
"Bolton Wanderers","£35.01m",27,"2014-03-01"
"Oldham Athletic","£4.95m",28,"2014-03-01"
"Barrow AFC","£540Th.",20,"2014-03-01"
"Morecambe FC","£2.05m",24,"2014-03-01"
"Mansfield Town","£1.06m",28,"2014-03-01"
"Tranmere Rovers","£2.57m",21,"2014-03-01"
"Grimsby Town","£788Th.",22,"2014-03-01"
"Leyton Orient","£5.74m",26,"2014-03-01"
"Colchester United","£3.24m",24,"2014-03-01"
"Scunthorpe United","£4.01m",28,"2014-03-01"
"Bradford City","£6.75m",26,"2014-03-01"
"Port Vale FC","£3.44m",26,"2014-03-01"
"Crawley Town","£3.31m",23,"2014-03-01"
"Exeter City","£2.68m",24,"2014-03-01"
"Newport County","£1.91m",27,"2014-03-01"
"Southend United","£3.11m",25,"2014-03-01"
"Cheltenham Town","£1.42m",21,"2014-03-01"
"Cambridge United","£855Th.",28,"2014-03-01"
"Carlisle United","£3.20m",26,"2014-03-01"
"Stevenage FC","£3.94m",27,"2014-03-01"
"Forest Green Rovers","£1.19m",26,"2014-03-01"
"Walsall FC","£4.23m",27,"2014-03-01"
"Harrogate Town","£2.00m",34,"2014-03-01"
