"Team","Value","Squad size","Date"
"Liverpool FC","£1.08bn",25,"2020-03-15"
"Manchester City","£1.14bn",24,"2020-03-15"
"Chelsea FC","£746.15m",27,"2020-03-15"
"Manchester United","£718.88m",27,"2020-03-15"
"Tottenham Hotspur","£777.15m",24,"2020-03-15"
"Arsenal FC","£636.08m",27,"2020-03-15"
"Everton FC","£454.23m",25,"2020-03-15"
"Leicester City","£453.83m",26,"2020-03-15"
"Wolverhampton Wanderers","£329.00m",24,"2020-03-15"
"Aston Villa","£242.91m",27,"2020-03-15"
"West Ham United","£316.58m",25,"2020-03-15"
"Newcastle United","£277.04m",31,"2020-03-15"
"Southampton FC","£201.15m",21,"2020-03-15"
"Brighton & Hove Albion","£204.53m",26,"2020-03-15"
"Fulham FC","£127.58m",28,"2020-03-15"
"Crystal Palace","£193.50m",21,"2020-03-15"
"Leeds United","£93.38m",26,"2020-03-15"
"Sheffield United","£143.42m",27,"2020-03-15"
"Burnley FC","£176.18m",24,"2020-03-15"
"West Bromwich Albion","£93.42m",29,"2020-03-15"
