"Team","Value","Squad size","Date"
"AFC Bournemouth","£6.21m",32,"2012-09-01"
"Norwich City","£59.76m",29,"2012-09-01"
"Watford FC","£21.08m",38,"2012-09-01"
"Brentford FC","£4.12m",26,"2012-09-01"
"Cardiff City","£27.63m",29,"2012-09-01"
"Bristol City","£14.45m",28,"2012-09-01"
"Swansea City","£64.80m",25,"2012-09-01"
"Reading FC","£29.25m",24,"2012-09-01"
"Stoke City","£85.59m",29,"2012-09-01"
"Blackburn Rovers","£45.95m",31,"2012-09-01"
"Nottingham Forest","£23.22m",25,"2012-09-01"
"Middlesbrough FC","£28.49m",29,"2012-09-01"
"Derby County","£9.23m",27,"2012-09-01"
"Huddersfield Town","£11.99m",26,"2012-09-01"
"Birmingham City","£23.63m",23,"2012-09-01"
"Millwall FC","£12.02m",27,"2012-09-01"
"Sheffield Wednesday","£14.96m",30,"2012-09-01"
"Preston North End","£4.14m",25,"2012-09-01"
"Queens Park Rangers","£104.85m",29,"2012-09-01"
"Barnsley FC","£8.55m",29,"2012-09-01"
"Luton Town","£1.24m",24,"2012-09-01"
"Coventry City","£8.78m",27,"2012-09-01"
"Rotherham United","£4.93m",22,"2012-09-01"
"Wycombe Wanderers","£3.98m",31,"2012-09-01"
