"Team","Value","Squad size","Date"
"Salford City","£90Th.",4,"2013-10-15"
"Southend United","£2.95m",25,"2013-10-15"
"Bolton Wanderers","£38.03m",26,"2013-10-15"
"Oldham Athletic","£4.48m",25,"2013-10-15"
"Tranmere Rovers","£3.20m",25,"2013-10-15"
"Morecambe FC","£1.96m",22,"2013-10-15"
"Grimsby Town","£1.01m",20,"2013-10-15"
"Colchester United","£3.44m",26,"2013-10-15"
"Leyton Orient","£3.80m",21,"2013-10-15"
"Mansfield Town","£1.26m",29,"2013-10-15"
"Bradford City","£6.59m",23,"2013-10-15"
"Scunthorpe United","£3.74m",26,"2013-10-15"
"Barrow AFC","£518Th.",22,"2013-10-15"
"Port Vale FC","£3.44m",23,"2013-10-15"
"Cheltenham Town","£1.96m",21,"2013-10-15"
"Exeter City","£3.24m",24,"2013-10-15"
"Carlisle United","£3.15m",22,"2013-10-15"
"Crawley Town","£2.61m",23,"2013-10-15"
"Newport County","£1.26m",23,"2013-10-15"
"Cambridge United","£495Th.",25,"2013-10-15"
"Walsall FC","£2.93m",26,"2013-10-15"
"Forest Green Rovers","£1.15m",28,"2013-10-15"
"Stevenage FC","£4.23m",26,"2013-10-15"
"Harrogate Town","£1.55m",34,"2013-10-15"
