"","Team","Value","Squad size","Date"
"1","Hull City","€63.03m",23,"2016-07-01"
"2","Ipswich Town","€17.25m",25,"2016-07-01"
"3","Blackpool FC","€2.98m",19,"2016-07-01"
"4","Sunderland AFC","€82.50m",22,"2016-07-01"
"5","Shrewsbury Town","€4.15m",25,"2016-07-01"
"6","Charlton Athletic","€16.80m",32,"2016-07-01"
"7","Fleetwood Town","€3.80m",30,"2016-07-01"
"8","Milton Keynes Dons","€4.40m",18,"2016-07-01"
"9","Oxford United","€3.25m",24,"2016-07-01"
"10","Wigan Athletic","€13.18m",30,"2016-07-01"
"11","Swindon Town","€1.93m",16,"2016-07-01"
"12","Doncaster Rovers","€4.25m",26,"2016-07-01"
"13","Portsmouth FC","€3.80m",26,"2016-07-01"
"14","Burton Albion","€4.28m",17,"2016-07-01"
"15","Gillingham FC","€3.58m",22,"2016-07-01"
"16","Bristol Rovers","€1.83m",28,"2016-07-01"
"17","Plymouth Argyle","€3.30m",20,"2016-07-01"
"18","Northampton Town","€4.28m",21,"2016-07-01"
"19","Lincoln City","€1.00m",22,"2016-07-01"
"20","Peterborough United","€5.00m",29,"2016-07-01"
"21","Rochdale AFC","€3.15m",22,"2016-07-01"
"22","Crewe Alexandra","€1.68m",19,"2016-07-01"
"23","AFC Wimbledon","€2.08m",21,"2016-07-01"
"24","Accrington Stanley","€1.10m",19,"2016-07-01"
