"","Team","Value","Squad size","Date"
"1","Hull City","€65.73m",25,"2016-01-01"
"2","Ipswich Town","€21.68m",27,"2016-01-01"
"3","Blackpool FC","€4.00m",28,"2016-01-01"
"4","Sunderland AFC","€111.75m",27,"2016-01-01"
"5","Shrewsbury Town","€4.95m",26,"2016-01-01"
"6","Charlton Athletic","€23.00m",28,"2016-01-01"
"7","Fleetwood Town","€3.60m",32,"2016-01-01"
"8","Milton Keynes Dons","€9.23m",28,"2016-01-01"
"9","Oxford United","€2.88m",28,"2016-01-01"
"10","Wigan Athletic","€11.33m",29,"2016-01-01"
"11","Swindon Town","€4.50m",29,"2016-01-01"
"12","Doncaster Rovers","€5.03m",26,"2016-01-01"
"13","Portsmouth FC","€5.38m",26,"2016-01-01"
"14","Burton Albion","€3.60m",27,"2016-01-01"
"15","Gillingham FC","€2.60m",27,"2016-01-01"
"16","Bristol Rovers","€1.35m",28,"2016-01-01"
"17","Plymouth Argyle","€2.25m",23,"2016-01-01"
"18","Northampton Town","€3.73m",24,"2016-01-01"
"19","Lincoln City","€900Th.",23,"2016-01-01"
"20","Peterborough United","€5.33m",29,"2016-01-01"
"21","Rochdale AFC","€3.90m",28,"2016-01-01"
"22","Crewe Alexandra","€2.70m",31,"2016-01-01"
"23","AFC Wimbledon","€2.30m",25,"2016-01-01"
"24","Accrington Stanley","€900Th.",28,"2016-01-01"
