"Team","Value","Squad size","Date"
"Salford City","-",0,"2012-06-01"
"Southend United","£4.19m",33,"2012-06-01"
"Bolton Wanderers","£70.65m",27,"2012-06-01"
"Oldham Athletic","£3.11m",29,"2012-06-01"
"Tranmere Rovers","£2.66m",24,"2012-06-01"
"Morecambe FC","£2.61m",25,"2012-06-01"
"Grimsby Town","£1.40m",25,"2012-06-01"
"Colchester United","£5.78m",26,"2012-06-01"
"Leyton Orient","£6.37m",26,"2012-06-01"
"Mansfield Town","£1.85m",23,"2012-06-01"
"Bradford City","£5.13m",27,"2012-06-01"
"Scunthorpe United","£4.41m",25,"2012-06-01"
"Barrow AFC","£608Th.",21,"2012-06-01"
"Port Vale FC","£2.39m",24,"2012-06-01"
"Cheltenham Town","£2.36m",20,"2012-06-01"
"Exeter City","£5.40m",31,"2012-06-01"
"Carlisle United","£5.58m",24,"2012-06-01"
"Crawley Town","£2.88m",25,"2012-06-01"
"Newport County","£450Th.",25,"2012-06-01"
"Walsall FC","£4.64m",24,"2012-06-01"
"Forest Green Rovers","£1.82m",28,"2012-06-01"
"Stevenage FC","£3.85m",24,"2012-06-01"
"Cambridge United","£338Th.",25,"2012-06-01"
"Harrogate Town","£383Th.",22,"2012-06-01"
