"Team","Value","Squad size","Date"
"AFC Bournemouth","£95.40m",26,"2017-05-15"
"Norwich City","£63.14m",28,"2017-05-15"
"Watford FC","£114.53m",26,"2017-05-15"
"Brentford FC","£21.74m",23,"2017-05-15"
"Stoke City","£151.43m",25,"2017-05-15"
"Bristol City","£21.33m",26,"2017-05-15"
"Nottingham Forest","£43.34m",32,"2017-05-15"
"Swansea City","£114.84m",28,"2017-05-15"
"Blackburn Rovers","£18.72m",25,"2017-05-15"
"Reading FC","£35.28m",30,"2017-05-15"
"Cardiff City","£30.29m",25,"2017-05-15"
"Middlesbrough FC","£89.55m",25,"2017-05-15"
"Huddersfield Town","£22.10m",27,"2017-05-15"
"Birmingham City","£24.10m",27,"2017-05-15"
"Derby County","£55.89m",26,"2017-05-15"
"Millwall FC","£7.07m",23,"2017-05-15"
"Preston North End","£15.39m",26,"2017-05-15"
"Sheffield Wednesday","£55.69m",29,"2017-05-15"
"Queens Park Rangers","£32.31m",27,"2017-05-15"
"Barnsley FC","£12.06m",28,"2017-05-15"
"Luton Town","£3.06m",27,"2017-05-15"
"Coventry City","£4.64m",27,"2017-05-15"
"Rotherham United","£10.67m",30,"2017-05-15"
"Wycombe Wanderers","£3.06m",25,"2017-05-15"
