"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€123.75m",27,"2018-02-01"
"2","Norwich City","€34.60m",26,"2018-02-01"
"3","Watford FC","€187.50m",31,"2018-02-01"
"4","Brentford FC","€33.05m",24,"2018-02-01"
"5","Cardiff City","€49.20m",32,"2018-02-01"
"6","Bristol City","€31.90m",28,"2018-02-01"
"7","Swansea City","€156.75m",25,"2018-02-01"
"8","Reading FC","€47.50m",26,"2018-02-01"
"9","Stoke City","€180.00m",26,"2018-02-01"
"10","Blackburn Rovers","€13.70m",24,"2018-02-01"
"11","Nottingham Forest","€31.35m",28,"2018-02-01"
"12","Middlesbrough FC","€85.30m",24,"2018-02-01"
"13","Derby County","€49.55m",24,"2018-02-01"
"14","Huddersfield Town","€82.25m",27,"2018-02-01"
"15","Birmingham City","€40.90m",25,"2018-02-01"
"16","Millwall FC","€13.65m",29,"2018-02-01"
"17","Sheffield Wednesday","€63.48m",29,"2018-02-01"
"18","Preston North End","€15.45m",26,"2018-02-01"
"19","Queens Park Rangers","€32.15m",28,"2018-02-01"
"20","Barnsley FC","€17.83m",28,"2018-02-01"
"21","Luton Town","€4.20m",32,"2018-02-01"
"22","Coventry City","€3.98m",34,"2018-02-01"
"23","Rotherham United","€6.30m",26,"2018-02-01"
"24","Wycombe Wanderers","€3.30m",25,"2018-02-01"
