"","Team","Value","Squad size","Date"
"1","Salford City","€625Th.",11,"2015-02-15"
"2","Southend United","€3.28m",25,"2015-02-15"
"3","Bolton Wanderers","€30.83m",31,"2015-02-15"
"4","Oldham Athletic","€5.73m",25,"2015-02-15"
"5","Tranmere Rovers","€3.88m",25,"2015-02-15"
"6","Morecambe FC","€1.98m",22,"2015-02-15"
"7","Grimsby Town","€1.03m",26,"2015-02-15"
"8","Colchester United","€3.53m",27,"2015-02-15"
"9","Leyton Orient","€9.25m",29,"2015-02-15"
"10","Mansfield Town","€1.93m",26,"2015-02-15"
"11","Bradford City","€6.45m",23,"2015-02-15"
"12","Scunthorpe United","€4.00m",26,"2015-02-15"
"13","Barrow AFC","€1.33m",29,"2015-02-15"
"14","Port Vale FC","€3.18m",26,"2015-02-15"
"15","Cheltenham Town","€1.95m",22,"2015-02-15"
"16","Exeter City","€3.65m",26,"2015-02-15"
"17","Carlisle United","€3.53m",24,"2015-02-15"
"18","Crawley Town","€4.33m",27,"2015-02-15"
"19","Newport County","€1.38m",24,"2015-02-15"
"20","Cambridge United","€2.25m",28,"2015-02-15"
"21","Walsall FC","€2.88m",25,"2015-02-15"
"22","Forest Green Rovers","€1.98m",23,"2015-02-15"
"23","Stevenage FC","€2.25m",27,"2015-02-15"
"24","Harrogate Town","€2.38m",38,"2015-02-15"
