"","Team","Value","Squad size","Date"
"1","Hull City","€89.75m",26,"2015-03-15"
"2","Ipswich Town","€22.15m",26,"2015-03-15"
"3","Blackpool FC","€8.13m",28,"2015-03-15"
"4","Sunderland AFC","€84.75m",23,"2015-03-15"
"5","Shrewsbury Town","€4.35m",26,"2015-03-15"
"6","Charlton Athletic","€24.00m",33,"2015-03-15"
"7","Fleetwood Town","€3.90m",29,"2015-03-15"
"8","Milton Keynes Dons","€11.05m",25,"2015-03-15"
"9","Oxford United","€2.53m",28,"2015-03-15"
"10","Wigan Athletic","€28.15m",26,"2015-03-15"
"11","Swindon Town","€5.70m",24,"2015-03-15"
"12","Doncaster Rovers","€5.43m",25,"2015-03-15"
"13","Portsmouth FC","€4.90m",26,"2015-03-15"
"14","Burton Albion","€3.09m",25,"2015-03-15"
"15","Gillingham FC","€2.78m",24,"2015-03-15"
"16","Bristol Rovers","€1.83m",26,"2015-03-15"
"17","Plymouth Argyle","€2.23m",23,"2015-03-15"
"18","Northampton Town","€4.40m",25,"2015-03-15"
"19","Lincoln City","€600Th.",23,"2015-03-15"
"20","Peterborough United","€5.18m",22,"2015-03-15"
"21","Rochdale AFC","€3.95m",27,"2015-03-15"
"22","Crewe Alexandra","€3.60m",26,"2015-03-15"
"23","AFC Wimbledon","€1.63m",25,"2015-03-15"
"24","Accrington Stanley","€1.43m",25,"2015-03-15"
