"Team","Value","Squad size","Date"
"Liverpool FC","£237.15m",24,"2013-08-01"
"Manchester City","£432.23m",25,"2013-08-01"
"Chelsea FC","£420.75m",29,"2013-08-01"
"Manchester United","£353.93m",31,"2013-08-01"
"Tottenham Hotspur","£256.95m",26,"2013-08-01"
"Arsenal FC","£272.70m",26,"2013-08-01"
"Everton FC","£141.53m",25,"2013-08-01"
"Leicester City","£27.23m",25,"2013-08-01"
"Wolverhampton Wanderers","£27.32m",29,"2013-08-01"
"Aston Villa","£105.53m",31,"2013-08-01"
"West Ham United","£78.53m",24,"2013-08-01"
"Newcastle United","£143.55m",26,"2013-08-01"
"Brighton & Hove Albion","£18.74m",24,"2013-08-01"
"Southampton FC","£86.63m",27,"2013-08-01"
"Fulham FC","£65.03m",24,"2013-08-01"
"Crystal Palace","£33.53m",22,"2013-08-01"
"Leeds United","£18.90m",25,"2013-08-01"
"Sheffield United","£8.84m",30,"2013-08-01"
"Burnley FC","£17.53m",23,"2013-08-01"
"West Bromwich Albion","£61.88m",21,"2013-08-01"
