"Team","Value","Squad size","Date"
"AFC Bournemouth","£3.53m",27,"2010-11-01"
"Norwich City","£15.46m",26,"2010-11-01"
"Watford FC","£9.54m",25,"2010-11-01"
"Brentford FC","£6.44m",26,"2010-11-01"
"Cardiff City","£30.69m",25,"2010-11-01"
"Bristol City","£19.35m",30,"2010-11-01"
"Swansea City","£19.62m",32,"2010-11-01"
"Stoke City","£73.80m",25,"2010-11-01"
"Reading FC","£18.02m",27,"2010-11-01"
"Blackburn Rovers","£65.93m",22,"2010-11-01"
"Nottingham Forest","£22.77m",25,"2010-11-01"
"Middlesbrough FC","£37.62m",27,"2010-11-01"
"Derby County","£14.36m",35,"2010-11-01"
"Huddersfield Town","£9.97m",24,"2010-11-01"
"Birmingham City","£68.00m",25,"2010-11-01"
"Millwall FC","£10.04m",27,"2010-11-01"
"Sheffield Wednesday","£14.69m",23,"2010-11-01"
"Preston North End","£12.67m",30,"2010-11-01"
"Queens Park Rangers","£28.89m",28,"2010-11-01"
"Barnsley FC","£14.27m",28,"2010-11-01"
"Luton Town","£1.78m",25,"2010-11-01"
"Coventry City","£15.10m",30,"2010-11-01"
"Rotherham United","£2.39m",24,"2010-11-01"
"Wycombe Wanderers","£3.42m",23,"2010-11-01"
