"Team","Value","Squad size","Date"
"Liverpool FC","£253.80m",22,"2014-03-15"
"Manchester City","£405.90m",24,"2014-03-15"
"Chelsea FC","£349.88m",23,"2014-03-15"
"Manchester United","£340.65m",26,"2014-03-15"
"Tottenham Hotspur","£243.90m",24,"2014-03-15"
"Arsenal FC","£333.90m",27,"2014-03-15"
"Everton FC","£155.03m",26,"2014-03-15"
"Leicester City","£26.28m",24,"2014-03-15"
"Wolverhampton Wanderers","£14.38m",25,"2014-03-15"
"Aston Villa","£89.55m",28,"2014-03-15"
"West Ham United","£89.33m",28,"2014-03-15"
"Newcastle United","£128.70m",24,"2014-03-15"
"Southampton FC","£100.58m",21,"2014-03-15"
"Brighton & Hove Albion","£19.89m",28,"2014-03-15"
"Fulham FC","£72.00m",24,"2014-03-15"
"Crystal Palace","£51.75m",27,"2014-03-15"
"Leeds United","£27.95m",29,"2014-03-15"
"Sheffield United","£8.48m",27,"2014-03-15"
"Burnley FC","£21.98m",22,"2014-03-15"
"West Bromwich Albion","£73.13m",25,"2014-03-15"
