"Team","Value","Squad size","Date"
"Salford City","-",NA,"2011-02-15"
"Bolton Wanderers","£87.30m",27,"2011-02-15"
"Oldham Athletic","£4.39m",29,"2011-02-15"
"Barrow AFC","£968Th.",26,"2011-02-15"
"Morecambe FC","£3.71m",24,"2011-02-15"
"Mansfield Town","£1.37m",29,"2011-02-15"
"Tranmere Rovers","£3.31m",27,"2011-02-15"
"Grimsby Town","-",NA,"2011-02-15"
"Leyton Orient","£6.50m",30,"2011-02-15"
"Colchester United","£5.54m",28,"2011-02-15"
"Scunthorpe United","£9.36m",30,"2011-02-15"
"Bradford City","£3.17m",29,"2011-02-15"
"Port Vale FC","£3.06m",27,"2011-02-15"
"Crawley Town","£2.21m",32,"2011-02-15"
"Exeter City","£4.39m",31,"2011-02-15"
"Newport County","£1.24m",19,"2011-02-15"
"Southend United","£3.56m",24,"2011-02-15"
"Cheltenham Town","£1.82m",25,"2011-02-15"
"Cambridge United","£765Th.",25,"2011-02-15"
"Carlisle United","£4.70m",27,"2011-02-15"
"Stevenage FC","£2.39m",23,"2011-02-15"
"Forest Green Rovers","£1.69m",37,"2011-02-15"
"Walsall FC","£5.33m",26,"2011-02-15"
"Harrogate Town","£360Th.",18,"2011-02-15"
