"","Team","Value","Squad size","Date"
"1","Hull City","€78.20m",21,"2015-07-15"
"2","Ipswich Town","€19.25m",28,"2015-07-15"
"3","Blackpool FC","€3.08m",19,"2015-07-15"
"4","Sunderland AFC","€86.75m",24,"2015-07-15"
"5","Shrewsbury Town","€4.03m",26,"2015-07-15"
"6","Charlton Athletic","€21.75m",34,"2015-07-15"
"7","Fleetwood Town","€2.75m",25,"2015-07-15"
"8","Milton Keynes Dons","€4.90m",24,"2015-07-15"
"9","Oxford United","€1.88m",25,"2015-07-15"
"10","Wigan Athletic","€15.95m",25,"2015-07-15"
"11","Swindon Town","€1.70m",14,"2015-07-15"
"12","Doncaster Rovers","€4.20m",21,"2015-07-15"
"13","Portsmouth FC","€4.58m",24,"2015-07-15"
"14","Burton Albion","€2.79m",26,"2015-07-15"
"15","Gillingham FC","€2.00m",22,"2015-07-15"
"16","Bristol Rovers","€1.15m",24,"2015-07-15"
"17","Plymouth Argyle","€2.35m",21,"2015-07-15"
"18","Northampton Town","€3.58m",20,"2015-07-15"
"19","Lincoln City","€750Th.",20,"2015-07-15"
"20","Peterborough United","€6.13m",24,"2015-07-15"
"21","Rochdale AFC","€3.28m",24,"2015-07-15"
"22","Crewe Alexandra","€2.30m",25,"2015-07-15"
"23","AFC Wimbledon","€2.00m",23,"2015-07-15"
"24","Accrington Stanley","€750Th.",22,"2015-07-15"
