"","Team","Value","Squad size","Date"
"1","Hull City","€84.85m",26,"2016-11-01"
"2","Ipswich Town","€19.35m",27,"2016-11-01"
"3","Blackpool FC","€3.38m",24,"2016-11-01"
"4","Sunderland AFC","€99.50m",25,"2016-11-01"
"5","Shrewsbury Town","€5.48m",26,"2016-11-01"
"6","Charlton Athletic","€14.60m",29,"2016-11-01"
"7","Fleetwood Town","€5.18m",30,"2016-11-01"
"8","Milton Keynes Dons","€6.55m",27,"2016-11-01"
"9","Oxford United","€4.85m",29,"2016-11-01"
"10","Wigan Athletic","€21.23m",27,"2016-11-01"
"11","Swindon Town","€4.20m",24,"2016-11-01"
"12","Doncaster Rovers","€3.78m",27,"2016-11-01"
"13","Portsmouth FC","€4.05m",30,"2016-11-01"
"14","Burton Albion","€9.00m",26,"2016-11-01"
"15","Gillingham FC","€6.38m",30,"2016-11-01"
"16","Bristol Rovers","€3.90m",29,"2016-11-01"
"17","Plymouth Argyle","€4.08m",24,"2016-11-01"
"18","Northampton Town","€4.90m",26,"2016-11-01"
"19","Lincoln City","€1.13m",26,"2016-11-01"
"20","Peterborough United","€4.48m",25,"2016-11-01"
"21","Rochdale AFC","€4.08m",27,"2016-11-01"
"22","Crewe Alexandra","€2.48m",21,"2016-11-01"
"23","AFC Wimbledon","€3.28m",26,"2016-11-01"
"24","Accrington Stanley","€3.40m",30,"2016-11-01"
