"","Team","Value","Squad size","Date"
"1","Liverpool FC","€254.00m",22,"2013-09-01"
"2","Manchester City","€472.75m",24,"2013-09-01"
"3","Chelsea FC","€514.75m",29,"2013-09-01"
"4","Manchester United","€389.25m",29,"2013-09-01"
"5","Tottenham Hotspur","€370.50m",27,"2013-09-01"
"6","Arsenal FC","€295.50m",25,"2013-09-01"
"7","Everton FC","€157.25m",25,"2013-09-01"
"8","Leicester City","€29.40m",26,"2013-09-01"
"9","Wolverhampton Wanderers","€23.80m",26,"2013-09-01"
"10","Aston Villa","€105.00m",28,"2013-09-01"
"11","West Ham United","€95.75m",25,"2013-09-01"
"12","Newcastle United","€169.00m",27,"2013-09-01"
"13","Southampton FC","€108.50m",25,"2013-09-01"
"14","Brighton & Hove Albion","€25.03m",26,"2013-09-01"
"15","Fulham FC","€94.75m",26,"2013-09-01"
"16","Crystal Palace","€46.00m",27,"2013-09-01"
"17","Leeds United","€21.00m",26,"2013-09-01"
"18","Sheffield United","€8.25m",27,"2013-09-01"
"19","Burnley FC","€15.73m",21,"2013-09-01"
"20","West Bromwich Albion","€81.25m",25,"2013-09-01"
