"Team","Value","Squad size","Date"
"Salford City","£473Th.",10,"2014-12-15"
"Southend United","£2.63m",25,"2014-12-15"
"Bolton Wanderers","£25.61m",28,"2014-12-15"
"Oldham Athletic","£4.91m",27,"2014-12-15"
"Tranmere Rovers","£2.72m",26,"2014-12-15"
"Morecambe FC","£1.82m",24,"2014-12-15"
"Grimsby Town","£788Th.",23,"2014-12-15"
"Colchester United","£3.08m",27,"2014-12-15"
"Leyton Orient","£7.83m",26,"2014-12-15"
"Mansfield Town","£1.96m",27,"2014-12-15"
"Bradford City","£4.82m",22,"2014-12-15"
"Scunthorpe United","£4.91m",30,"2014-12-15"
"Barrow AFC","£923Th.",26,"2014-12-15"
"Port Vale FC","£3.67m",26,"2014-12-15"
"Cheltenham Town","£2.09m",25,"2014-12-15"
"Exeter City","£2.93m",26,"2014-12-15"
"Carlisle United","£3.56m",25,"2014-12-15"
"Crawley Town","£3.44m",23,"2014-12-15"
"Newport County","£1.33m",23,"2014-12-15"
"Cambridge United","£1.80m",28,"2014-12-15"
"Walsall FC","£2.90m",26,"2014-12-15"
"Forest Green Rovers","£2.00m",23,"2014-12-15"
"Stevenage FC","£2.25m",28,"2014-12-15"
"Harrogate Town","£2.14m",38,"2014-12-15"
